Province,Region,alternative_name,Transportation_Type,Date,Value
Prince Edward Island,Prince Edward Island,,driving,2020-04-19,78.3
New Brunswick,New Brunswick,,driving,2020-04-26,77.75
New Brunswick,New Brunswick,,driving,2020-04-27,77.36
Alberta,Alberta,,driving,2020-04-23,77.02
Nova Scotia,Nova Scotia,,driving,2020-04-20,76.92
Alberta,Edmonton,,driving,2020-04-28,76.75
Prince Edward Island,Prince Edward Island,,driving,2020-04-23,76.74
Alberta,Alberta,,driving,2020-04-27,76.64
Prince Edward Island,Prince Edward Island,,driving,2020-04-28,76.51
Manitoba,Manitoba,,driving,2020-04-25,76.47
Yukon Territory,Yukon Territory,,driving,2020-04-26,76.16
New Brunswick,New Brunswick,,driving,2020-04-21,76.09
Alberta,Edmonton,,walking,2020-04-19,75.35
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-27,75.18
British Columbia,British Columbia,,driving,2020-04-24,75.1
Alberta,Alberta,,driving,2020-04-17,75.07
New Brunswick,New Brunswick,,driving,2020-04-19,75.04
Alberta,Alberta,,driving,2020-04-25,75.02
New Brunswick,New Brunswick,,driving,2020-04-18,74.97
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-18,74.63
Alberta,Edmonton,,driving,2020-04-23,74.51
New Brunswick,New Brunswick,,driving,2020-04-20,74.43
Manitoba,Manitoba,,driving,2020-04-21,74.15
Alberta,Alberta,,driving,2020-04-22,73.84
Alberta,Calgary,,driving,2020-04-24,73.8
Alberta,Alberta,,driving,2020-04-21,72.86
Saskatchewan,Saskatchewan,,driving,2020-04-18,72.79
Nova Scotia,Nova Scotia,,driving,2020-04-21,72.69
Alberta,Edmonton,,driving,2020-04-17,72.31
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-17,71.96
Manitoba,Manitoba,,driving,2020-04-20,71.76
Nova Scotia,Nova Scotia,,driving,2020-04-23,71.57
Alberta,Alberta,,driving,2020-04-20,70.98
Manitoba,Manitoba,,driving,2020-04-18,70.85
Alberta,Edmonton,,driving,2020-04-27,70.64
Alberta,Edmonton,,driving,2020-04-22,70.08
Nova Scotia,Nova Scotia,,driving,2020-04-22,69.83
Alberta,Edmonton,,driving,2020-04-21,69.39
Nova Scotia,Nova Scotia,,driving,2020-04-25,68.91
British Columbia,British Columbia,,driving,2020-04-17,68.65
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-25,68.56
Alberta,Edmonton,,driving,2020-04-25,68.12
Alberta,Calgary,,driving,2020-04-28,67.47
Alberta,Edmonton,,driving,2020-04-20,67.24
British Columbia,British Columbia,,driving,2020-04-28,67.11
Nova Scotia,Nova Scotia,,driving,2020-04-17,66.66
British Columbia,British Columbia,,driving,2020-04-23,66.49
Saskatchewan,Saskatchewan,,driving,2020-04-26,66.47
Manitoba,Manitoba,,driving,2020-04-26,66.29
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-20,66.26
Alberta,Alberta,,driving,2020-04-18,66.11
British Columbia,British Columbia,,driving,2020-04-27,65.51
British Columbia,British Columbia,,driving,2020-04-25,65.24
British Columbia,Vancouver,,driving,2020-04-24,64.84
Alberta,Calgary,,driving,2020-04-23,64.67
British Columbia,British Columbia,,driving,2020-04-18,64.66
Alberta,Calgary,,driving,2020-04-17,64.29
Alberta,Calgary,,driving,2020-04-27,63.99
Ontario,Ottawa,,walking,2020-04-28,63.89
British Columbia,British Columbia,,driving,2020-04-20,63.68
Alberta,Edmonton,,driving,2020-04-18,63.3
British Columbia,British Columbia,,driving,2020-04-21,63.25
Alberta,Calgary,,driving,2020-04-25,63.24
British Columbia,British Columbia,,driving,2020-04-22,62.97
Alberta,Calgary,,driving,2020-04-22,62.91
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-21,62.71
Alberta,Calgary,,driving,2020-04-21,62.09
Ontario,Ontario,,driving,2020-04-24,61.88
Alberta,Alberta,,driving,2020-04-26,61.85
Saskatchewan,Saskatchewan,,driving,2020-04-19,61.58
Ontario,Ottawa,,walking,2020-04-25,61.46
Nova Scotia,Nova Scotia,,driving,2020-04-27,61.0
Alberta,Calgary,,driving,2020-04-20,60.14
British Columbia,Vancouver,,driving,2020-04-17,59.28
British Columbia,Vancouver,,walking,2020-04-18,59.25
Nova Scotia,Nova Scotia,,driving,2020-04-18,58.86
Manitoba,Manitoba,,driving,2020-04-19,58.41
Ontario,Ontario,,driving,2020-04-28,58.4
Ontario,Ottawa,,walking,2020-04-27,58.01
Ontario,Ontario,,driving,2020-04-25,57.42
British Columbia,Vancouver,,driving,2020-04-28,57.39
Quebec,Quebec,Qu̩bec,driving,2020-04-24,57.39
Ontario,Ontario,,driving,2020-04-27,57.34
British Columbia,Vancouver,,walking,2020-04-24,56.86
Nova Scotia,Nova Scotia,,driving,2020-04-28,56.85
British Columbia,Vancouver,,driving,2020-04-23,56.84
Alberta,Alberta,,driving,2020-04-19,56.76
Quebec,Montreal,Montr̩al,walking,2020-04-25,56.53
Quebec,Quebec,Qu̩bec,driving,2020-04-28,56.29
Nova Scotia,Nova Scotia,,driving,2020-04-26,56.19
Alberta,Calgary,,driving,2020-04-18,56.17
British Columbia,Vancouver,,driving,2020-04-27,56.01
British Columbia,British Columbia,,driving,2020-04-26,55.91
Ontario,Ottawa,,driving,2020-04-24,55.73
British Columbia,Vancouver,,driving,2020-04-18,55.59
British Columbia,Vancouver,,walking,2020-04-17,55.37
Alberta,Edmonton,,driving,2020-04-26,55.35
Ontario,Ontario,,driving,2020-04-17,55.16
Ontario,Ontario,,driving,2020-04-23,55.15
