Province,Region,alternative_name,Transportation_Type,Date,Value
New Brunswick,New Brunswick,,driving,2020-03-07,136.84
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-03-06,136.73
Alberta,Edmonton,,walking,2020-02-26,136.63
Saskatchewan,Saskatchewan,,driving,2020-02-08,136.58
Ontario,Toronto,,walking,2020-02-14,136.5
Ontario,Ontario,,driving,2020-02-21,136.47
Alberta,Calgary,,walking,2020-02-26,136.43
Nova Scotia,Nova Scotia,,driving,2020-02-22,136.27
Prince Edward Island,Prince Edward Island,,driving,2020-02-14,136.23
Alberta,Alberta,,driving,2020-01-24,136.22
Quebec,Montreal,Montr̩al,walking,2020-02-08,136.13
Manitoba,Manitoba,,driving,2020-03-07,136.1
Alberta,Calgary,,walking,2020-03-04,135.88
Prince Edward Island,Prince Edward Island,,driving,2020-02-15,135.75
Alberta,Edmonton,,walking,2020-03-05,135.64
Quebec,Montreal,Montr̩al,walking,2020-02-16,135.51
Ontario,Toronto,,driving,2020-02-21,135.46
Nova Scotia,Nova Scotia,,driving,2020-02-15,135.3
Quebec,Montreal,Montr̩al,walking,2020-03-06,135.28
Ontario,Ottawa,,walking,2020-02-22,135.22
Nova Scotia,Nova Scotia,,driving,2020-02-28,135.22
British Columbia,British Columbia,,driving,2020-02-21,135.06
Alberta,Alberta,,driving,2020-02-15,135.01
Prince Edward Island,Prince Edward Island,,driving,2020-02-22,134.95
New Brunswick,New Brunswick,,driving,2020-02-08,134.86
British Columbia,Vancouver,,walking,2020-01-31,134.76
Alberta,Edmonton,,walking,2020-03-04,134.61
Alberta,Alberta,,driving,2020-02-07,134.43
Alberta,Alberta,,driving,2020-02-29,134.29
Alberta,Edmonton,,walking,2020-01-21,134.13
British Columbia,Vancouver,,walking,2020-03-05,134.11
Quebec,Quebec,Qu̩bec,driving,2020-02-14,134.05
Saskatchewan,Saskatchewan,,driving,2020-01-25,133.93
Ontario,Ottawa,,walking,2020-02-21,133.86
Alberta,Calgary,,walking,2020-02-11,133.71
Quebec,Montreal,Montr̩al,walking,2020-01-25,133.71
Manitoba,Manitoba,,driving,2020-02-22,133.71
Alberta,Edmonton,,driving,2020-02-29,133.63
New Brunswick,New Brunswick,,driving,2020-01-17,133.37
Saskatchewan,Saskatchewan,,driving,2020-02-15,133.37
British Columbia,Vancouver,,walking,2020-02-13,133.32
Quebec,Quebec,Qu̩bec,driving,2020-02-21,133.23
British Columbia,British Columbia,,driving,2020-02-28,133.16
Alberta,Edmonton,,walking,2020-03-03,132.95
Alberta,Calgary,,walking,2020-02-16,132.92
Quebec,Montreal,Montr̩al,walking,2020-02-28,132.75
Alberta,Edmonton,,driving,2020-01-31,132.69
New Brunswick,New Brunswick,,driving,2020-03-05,132.57
Alberta,Calgary,,walking,2020-03-02,132.42
Alberta,Edmonton,,driving,2020-03-06,132.41
Ontario,Toronto,,walking,2020-02-15,132.36
Alberta,Calgary,,walking,2020-01-29,132.22
British Columbia,Vancouver,,walking,2020-03-08,131.97
Prince Edward Island,Prince Edward Island,,driving,2020-01-25,131.9
British Columbia,British Columbia,,driving,2020-03-06,131.88
Ontario,Ottawa,,walking,2020-02-16,131.87
Nova Scotia,Nova Scotia,,driving,2020-02-21,131.85
Nova Scotia,Nova Scotia,,driving,2020-01-25,131.74
Ontario,Toronto,,driving,2020-02-14,131.44
Manitoba,Manitoba,,driving,2020-02-15,131.32
Alberta,Edmonton,,driving,2020-02-07,131.26
Quebec,Quebec,Qu̩bec,driving,2020-02-28,131.21
Nova Scotia,Nova Scotia,,driving,2020-01-31,131.12
Manitoba,Manitoba,,driving,2020-01-17,131
Yukon Territory,Yukon Territory,,driving,2020-02-08,130.83
Ontario,Toronto,,walking,2020-03-05,130.82
Alberta,Edmonton,,driving,2020-02-21,130.48
Alberta,Edmonton,,walking,2020-03-02,130.47
Alberta,Alberta,,driving,2020-01-25,130.44
Alberta,Calgary,,walking,2020-02-25,130.4
Saskatchewan,Saskatchewan,,driving,2020-02-01,130.37
Manitoba,Manitoba,,driving,2020-01-24,130.33
Alberta,Calgary,,driving,2020-02-14,130.28
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-01-31,130.24
Ontario,Ottawa,,driving,2020-02-14,130.02
Alberta,Edmonton,,driving,2020-01-24,129.97
Yukon Territory,Yukon Territory,,driving,2020-03-07,129.65
Alberta,Edmonton,,driving,2020-01-17,129.58
Alberta,Edmonton,,driving,2020-02-11,129.55
Saskatchewan,Saskatchewan,,driving,2020-01-17,129.53
Manitoba,Manitoba,,driving,2020-02-07,129.5
Saskatchewan,Saskatchewan,,driving,2020-02-20,129.49
British Columbia,Vancouver,,driving,2020-02-21,129.42
Alberta,Calgary,,walking,2020-01-17,129.2
Ontario,Ottawa,,driving,2020-01-31,129.08
British Columbia,Vancouver,,walking,2020-02-12,129.05
New Brunswick,New Brunswick,,driving,2020-02-16,128.93
Alberta,Calgary,,driving,2020-02-21,128.74
Alberta,Edmonton,,driving,2020-02-22,128.72
Saskatchewan,Saskatchewan,,driving,2020-02-22,128.57
Ontario,Ottawa,,walking,2020-02-14,128.47
Ontario,Toronto,,walking,2020-02-01,128.3
Alberta,Edmonton,,walking,2020-02-25,128.26
Quebec,Montreal,Montr̩al,driving,2020-02-14,128.24
Quebec,Quebec,Qu̩bec,driving,2020-01-24,128.14
Alberta,Edmonton,,walking,2020-03-10,128.05
Alberta,Alberta,,driving,2020-02-08,127.97
Nova Scotia,Nova Scotia,,driving,2020-01-24,127.9
British Columbia,British Columbia,,driving,2020-02-29,127.86
Nova Scotia,Nova Scotia,,driving,2020-02-08,127.85
Ontario,Ontario,,driving,2020-02-22,127.82
Alberta,Edmonton,,driving,2020-02-15,127.8
Alberta,Edmonton,,walking,2020-02-12,127.64
Alberta,Edmonton,,walking,2020-03-11,127.49
Alberta,Calgary,,walking,2020-03-10,127.38
Alberta,Calgary,,walking,2020-01-18,127.33
Alberta,Edmonton,,walking,2020-03-09,127.33
Ontario,Toronto,,walking,2020-02-29,127.32
Yukon Territory,Yukon Territory,,driving,2020-02-07,127.29
British Columbia,Vancouver,,walking,2020-01-20,127.23
Alberta,Edmonton,,driving,2020-02-08,127.22
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-01,127.15
Ontario,Ottawa,,walking,2020-01-24,127.12
British Columbia,Vancouver,,driving,2020-02-28,127.04
British Columbia,Vancouver,,walking,2020-02-26,127.04
Alberta,Edmonton,,walking,2020-02-05,127.03
Ontario,Toronto,,walking,2020-01-31,127.03
British Columbia,Vancouver,,walking,2020-02-06,126.94
Ontario,Ottawa,,driving,2020-02-21,126.91
Prince Edward Island,Prince Edward Island,,driving,2020-03-06,126.89
Alberta,Calgary,,driving,2020-01-31,126.67
Ontario,Ottawa,,walking,2020-03-05,126.61
British Columbia,British Columbia,,driving,2020-01-24,126.57
Ontario,Ontario,,driving,2020-01-31,126.57
British Columbia,Vancouver,,walking,2020-01-23,126.53
Yukon Territory,Yukon Territory,,driving,2020-02-28,126.47
Ontario,Ottawa,,walking,2020-02-07,126.46
Ontario,Ottawa,,walking,2020-03-06,126.44
Quebec,Montreal,Montr̩al,driving,2020-02-21,126.38
Quebec,Quebec,Qu̩bec,driving,2020-01-31,126.25
Manitoba,Manitoba,,driving,2020-02-08,126.22
Alberta,Alberta,,driving,2020-01-17,126.18
Ontario,Ottawa,,driving,2020-02-28,126.16
Alberta,Edmonton,,walking,2020-01-22,126.13
Alberta,Calgary,,transit,2020-02-21,126.11
British Columbia,Vancouver,,walking,2020-02-27,126.08
Saskatchewan,Saskatchewan,,driving,2020-03-07,125.87
British Columbia,Vancouver,,driving,2020-03-06,125.79
Alberta,Alberta,,driving,2020-02-01,125.77
British Columbia,Vancouver,,walking,2020-02-11,125.66
Yukon Territory,Yukon Territory,,driving,2020-01-31,125.66
Alberta,Edmonton,,driving,2020-01-25,125.58
Ontario,Ontario,,driving,2020-02-28,125.55
Alberta,Calgary,,walking,2020-01-20,125.53
Alberta,Calgary,,walking,2020-03-11,125.51
Ontario,Ottawa,,driving,2020-02-15,125.46
Alberta,Calgary,,walking,2020-03-09,125.45
British Columbia,British Columbia,,driving,2020-02-07,125.4
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-29,125.37
Ontario,Ontario,,driving,2020-01-17,125.31
Alberta,Edmonton,,walking,2020-01-20,125.12
Alberta,Edmonton,,driving,2020-03-07,125.01
Manitoba,Manitoba,,driving,2020-02-01,124.92
Nova Scotia,Nova Scotia,,driving,2020-01-18,124.91
Alberta,Calgary,,driving,2020-02-28,124.83
Alberta,Edmonton,,walking,2020-02-10,124.77
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-20,124.76
Ontario,Toronto,,driving,2020-02-22,124.75
Quebec,Montreal,Montr̩al,walking,2020-01-18,124.74
British Columbia,Vancouver,,walking,2020-01-22,124.74
Alberta,Calgary,,driving,2020-02-22,124.68
New Brunswick,New Brunswick,,driving,2020-02-23,124.65
Alberta,Alberta,,driving,2020-02-20,124.62
Ontario,Ottawa,,walking,2020-02-29,124.48
Ontario,Ontario,,driving,2020-01-24,124.38
Ontario,Toronto,,walking,2020-01-17,124.37
Alberta,Calgary,,walking,2020-02-05,124.26
British Columbia,Vancouver,,walking,2020-02-10,124.2
Ontario,Ottawa,,walking,2020-02-28,124.19
New Brunswick,New Brunswick,,driving,2020-02-20,124.15
Quebec,Montreal,Montr̩al,transit,2020-02-21,124.14
Alberta,Calgary,,walking,2020-02-12,124.11
Yukon Territory,Yukon Territory,,driving,2020-02-14,124.03
Alberta,Calgary,,walking,2020-02-04,123.85
British Columbia,British Columbia,,driving,2020-02-22,123.83
Manitoba,Manitoba,,driving,2020-01-25,123.83
Alberta,Calgary,,walking,2020-01-27,123.78
Quebec,Montreal,Montr̩al,driving,2020-01-24,123.73
British Columbia,British Columbia,,driving,2020-01-31,123.7
Quebec,Montreal,Montr̩al,driving,2020-02-28,123.5
British Columbia,British Columbia,,driving,2020-02-15,123.47
British Columbia,Vancouver,,walking,2020-01-21,123.44
Alberta,Calgary,,transit,2020-02-13,123.36
British Columbia,Vancouver,,walking,2020-02-17,123.35
Alberta,Edmonton,,transit,2020-03-04,123.27
Ontario,Toronto,,walking,2020-01-24,123.19
Quebec,Quebec,Qu̩bec,driving,2020-02-15,123.14
Alberta,Calgary,,transit,2020-02-28,123.13
Ontario,Toronto,,walking,2020-03-06,123.1
Quebec,Quebec,Qu̩bec,driving,2020-03-06,123.02
New Brunswick,New Brunswick,,driving,2020-03-03,123
Quebec,Montreal,Montr̩al,walking,2020-01-17,122.87
Quebec,Quebec,Qu̩bec,driving,2020-03-05,122.77
Ontario,Ontario,,driving,2020-03-06,122.75
Alberta,Calgary,,transit,2020-03-06,122.71
British Columbia,Vancouver,,walking,2020-01-27,122.67
Prince Edward Island,Prince Edward Island,,driving,2020-01-24,122.63
Alberta,Edmonton,,walking,2020-02-04,122.55
Alberta,Calgary,,driving,2020-03-06,122.52
Ontario,Ontario,,driving,2020-02-15,122.49
Yukon Territory,Yukon Territory,,driving,2020-02-22,122.48
Yukon Territory,Yukon Territory,,driving,2020-02-29,122.48
Alberta,Alberta,,driving,2020-03-07,122.41
British Columbia,Vancouver,,walking,2020-02-09,122.22
Alberta,Calgary,,driving,2020-01-24,122.12
Ontario,Toronto,,driving,2020-01-17,122.11
British Columbia,Vancouver,,walking,2020-01-30,122.02
Ontario,Toronto,,driving,2020-02-28,121.95
Saskatchewan,Saskatchewan,,driving,2020-02-13,121.94
Yukon Territory,Yukon Territory,,driving,2020-03-02,121.94
Alberta,Edmonton,,driving,2020-01-22,121.92
Saskatchewan,Saskatchewan,,driving,2020-01-18,121.86
Alberta,Edmonton,,transit,2020-02-12,121.83
Quebec,Quebec,Qu̩bec,driving,2020-01-17,121.81
Quebec,Quebec,Qu̩bec,driving,2020-02-22,121.77
Alberta,Edmonton,,transit,2020-01-22,121.73
British Columbia,Vancouver,,driving,2020-02-29,121.64
Alberta,Edmonton,,transit,2020-02-11,121.59
Yukon Territory,Yukon Territory,,driving,2020-03-04,121.58
Yukon Territory,Yukon Territory,,driving,2020-03-09,121.58
Saskatchewan,Saskatchewan,,driving,2020-01-30,121.49
Ontario,Ottawa,,driving,2020-01-24,121.44
Alberta,Edmonton,,driving,2020-02-13,121.38
Alberta,Alberta,,driving,2020-02-13,121.16
Saskatchewan,Saskatchewan,,driving,2020-03-05,121.05
Ontario,Ontario,,driving,2020-02-29,121
Ontario,Toronto,,driving,2020-01-24,120.86
British Columbia,Vancouver,,driving,2020-01-24,120.85
Ontario,Ottawa,,driving,2020-02-07,120.84
Ontario,Ottawa,,walking,2020-03-04,120.78
Quebec,Montreal,Montr̩al,driving,2020-02-10,120.77
British Columbia,Vancouver,,walking,2020-02-24,120.73
Alberta,Alberta,,driving,2020-02-19,120.73
Quebec,Montreal,Montr̩al,transit,2020-01-24,120.67
Quebec,Montreal,Montr̩al,transit,2020-02-14,120.66
Alberta,Calgary,,walking,2020-02-24,120.58
Ontario,Toronto,,driving,2020-01-31,120.54
Alberta,Edmonton,,driving,2020-01-18,120.51
Ontario,Toronto,,walking,2020-02-08,120.51
Yukon Territory,Yukon Territory,,driving,2020-03-06,120.49
Ontario,Toronto,,walking,2020-01-25,120.48
British Columbia,British Columbia,,driving,2020-02-08,120.43
Quebec,Montreal,Montr̩al,driving,2020-01-31,120.42
New Brunswick,New Brunswick,,driving,2020-03-02,120.36
Alberta,Edmonton,,transit,2020-02-27,120.3
British Columbia,British Columbia,,driving,2020-02-20,120.27
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-22,120.25
British Columbia,Vancouver,,walking,2020-02-25,120.24
Ontario,Ontario,,driving,2020-03-07,120.24
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-15,120.23
Saskatchewan,Saskatchewan,,driving,2020-02-19,120.13
Ontario,Toronto,,walking,2020-02-20,120.1
Alberta,Edmonton,,transit,2020-01-21,120.08
Alberta,Edmonton,,transit,2020-02-13,120.04
Manitoba,Manitoba,,driving,2020-02-20,120.04
Alberta,Calgary,,transit,2020-02-14,120.03
Ontario,Ottawa,,driving,2020-02-22,120.03
Alberta,Calgary,,walking,2020-02-10,120.02
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-03-13,119.89
British Columbia,Vancouver,,driving,2020-02-07,119.86
Ontario,Ottawa,,driving,2020-02-01,119.84
Saskatchewan,Saskatchewan,,driving,2020-01-23,119.82
Alberta,Calgary,,transit,2020-01-31,119.8
Alberta,Edmonton,,walking,2020-03-13,119.8
New Brunswick,New Brunswick,,driving,2020-03-04,119.8
British Columbia,Vancouver,,walking,2020-01-28,119.75
New Brunswick,New Brunswick,,driving,2020-01-23,119.71
Saskatchewan,Saskatchewan,,driving,2020-02-27,119.71
Ontario,Ottawa,,driving,2020-03-06,119.61
Ontario,Toronto,,walking,2020-03-04,119.56
Alberta,Edmonton,,transit,2020-01-20,119.54
Alberta,Edmonton,,transit,2020-01-23,119.53
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-13,119.53
Saskatchewan,Saskatchewan,,driving,2020-03-13,119.52
Quebec,Montreal,Montr̩al,transit,2020-02-28,119.5
Alberta,Calgary,,driving,2020-02-07,119.49
Alberta,Calgary,,driving,2020-02-29,119.33
Alberta,Alberta,,driving,2020-01-18,119.29
Ontario,Toronto,,transit,2020-02-21,119.23
Quebec,Montreal,Montr̩al,walking,2020-03-03,119.21
Alberta,Calgary,,transit,2020-01-21,119.2
Quebec,Montreal,Montr̩al,walking,2020-02-13,119.14
Alberta,Edmonton,,walking,2020-02-18,119.08
New Brunswick,New Brunswick,,driving,2020-02-26,119.06
Yukon Territory,Yukon Territory,,driving,2020-03-01,119.04
Alberta,Edmonton,,driving,2020-02-01,119.02
Prince Edward Island,Prince Edward Island,,driving,2020-02-20,118.99
Quebec,Montreal,Montr̩al,walking,2020-03-04,118.95
Ontario,Ontario,,driving,2020-02-07,118.95
Nova Scotia,Nova Scotia,,driving,2020-03-05,118.9
British Columbia,Vancouver,,driving,2020-01-31,118.83
Alberta,Alberta,,driving,2020-02-18,118.83
Alberta,Edmonton,,driving,2020-02-12,118.77
Alberta,Edmonton,,transit,2020-03-06,118.64
British Columbia,Vancouver,,walking,2020-03-01,118.62
British Columbia,British Columbia,,driving,2020-03-07,118.62
Yukon Territory,Yukon Territory,,driving,2020-03-11,118.5
Alberta,Edmonton,,walking,2020-02-24,118.45
Alberta,Edmonton,,walking,2020-02-16,118.41
Ontario,Ottawa,,driving,2020-01-17,118.39
Yukon Territory,Yukon Territory,,driving,2020-02-16,118.22
Alberta,Alberta,,driving,2020-02-27,118.21
Quebec,Quebec,Qu̩bec,driving,2020-02-01,118.18
Ontario,Toronto,,driving,2020-02-20,118.14
Quebec,Quebec,Qu̩bec,driving,2020-02-29,118.1
Quebec,Montreal,Montr̩al,walking,2020-01-23,118.09
British Columbia,Vancouver,,walking,2020-03-03,118.08
Ontario,Toronto,,driving,2020-03-06,118.02
Alberta,Calgary,,transit,2020-02-20,117.94
Alberta,Edmonton,,transit,2020-02-28,117.87
Alberta,Edmonton,,walking,2020-03-12,117.86
Quebec,Montreal,Montr̩al,driving,2020-01-17,117.82
Alberta,Edmonton,,driving,2020-02-20,117.8
Ontario,Ontario,,driving,2020-02-20,117.73
Alberta,Edmonton,,driving,2020-01-23,117.68
Prince Edward Island,Prince Edward Island,,driving,2020-01-18,117.66
Quebec,Montreal,Montr̩al,driving,2020-02-19,117.55
Ontario,Toronto,,walking,2020-02-07,117.55
Alberta,Edmonton,,walking,2020-01-27,117.53
Ontario,Ottawa,,walking,2020-02-08,117.5
Saskatchewan,Saskatchewan,,driving,2020-02-06,117.49
Nova Scotia,Nova Scotia,,driving,2020-02-01,117.47
Alberta,Calgary,,transit,2020-01-30,117.45
Saskatchewan,Saskatchewan,,driving,2020-01-28,117.44
British Columbia,British Columbia,,driving,2020-02-19,117.39
Quebec,Montreal,Montr̩al,walking,2020-02-20,117.38
Ontario,Ontario,,driving,2020-03-05,117.35
Ontario,Ottawa,,driving,2020-02-29,117.3
Ontario,Toronto,,driving,2020-03-05,117.3
Alberta,Calgary,,transit,2020-01-20,117.22
Quebec,Quebec,Qu̩bec,driving,2020-02-13,117.16
British Columbia,British Columbia,,driving,2020-02-01,117.07
Saskatchewan,Saskatchewan,,driving,2020-03-04,117.05
British Columbia,Vancouver,,walking,2020-03-11,116.99
Saskatchewan,Saskatchewan,,driving,2020-01-29,116.98
Saskatchewan,Saskatchewan,,driving,2020-01-22,116.91
Ontario,Ontario,,driving,2020-02-01,116.87
Alberta,Calgary,,transit,2020-01-29,116.83
Prince Edward Island,Prince Edward Island,,driving,2020-01-23,116.7
Alberta,Edmonton,,transit,2020-01-28,116.69
Alberta,Edmonton,,transit,2020-02-06,116.68
Saskatchewan,Saskatchewan,,driving,2020-02-18,116.65
Saskatchewan,Saskatchewan,,driving,2020-02-26,116.6
Nova Scotia,Nova Scotia,,driving,2020-02-20,116.59
Alberta,Edmonton,,driving,2020-02-27,116.57
Alberta,Alberta,,driving,2020-01-23,116.57
Quebec,Quebec,Qu̩bec,driving,2020-01-25,116.53
British Columbia,Vancouver,,walking,2020-03-09,116.52
British Columbia,Vancouver,,walking,2020-02-23,116.49
Alberta,Calgary,,transit,2020-02-07,116.43
Alberta,Calgary,,walking,2020-03-12,116.37
Prince Edward Island,Prince Edward Island,,driving,2020-02-18,116.31
Alberta,Alberta,,driving,2020-02-11,116.3
Alberta,Alberta,,driving,2020-01-30,116.29
Ontario,Ottawa,,driving,2020-02-08,116.24
Ontario,Ottawa,,walking,2020-02-24,116.21
Quebec,Montreal,Montr̩al,driving,2020-02-13,116.2
Alberta,Edmonton,,driving,2020-02-19,116.11
Alberta,Edmonton,,transit,2020-03-03,116.1
Yukon Territory,Yukon Territory,,driving,2020-03-03,116.05
Alberta,Alberta,,driving,2020-03-05,116
British Columbia,Vancouver,,walking,2020-01-26,115.95
Manitoba,Manitoba,,driving,2020-02-27,115.95
British Columbia,Vancouver,,driving,2020-02-22,115.94
Quebec,Montreal,Montr̩al,walking,2020-03-11,115.92
Manitoba,Manitoba,,driving,2020-01-30,115.92
Quebec,Quebec,Qu̩bec,driving,2020-02-10,115.92
British Columbia,Vancouver,,walking,2020-02-05,115.89
Alberta,Alberta,,driving,2020-01-22,115.79
Quebec,Montreal,Montr̩al,transit,2020-03-05,115.73
Yukon Territory,Yukon Territory,,driving,2020-02-01,115.68
Quebec,Quebec,Qu̩bec,driving,2020-02-19,115.63
British Columbia,British Columbia,,driving,2020-02-13,115.61
Quebec,Montreal,Montr̩al,transit,2020-01-31,115.59
Alberta,Edmonton,,transit,2020-02-19,115.57
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-03-05,115.54
Alberta,Edmonton,,transit,2020-03-05,115.5
Alberta,Calgary,,transit,2020-01-22,115.49
Alberta,Calgary,,driving,2020-02-20,115.46
Alberta,Edmonton,,transit,2020-01-24,115.39
Alberta,Edmonton,,driving,2020-01-30,115.33
Nova Scotia,Nova Scotia,,driving,2020-03-07,115.24
Alberta,Edmonton,,transit,2020-02-14,115.2
Ontario,Toronto,,driving,2020-02-07,115.1
Ontario,Toronto,,driving,2020-02-29,115.09
Alberta,Edmonton,,transit,2020-02-04,115.08
New Brunswick,New Brunswick,,driving,2020-03-08,115.07
Alberta,Edmonton,,walking,2020-01-16,115.04
Ontario,Toronto,,walking,2020-03-09,115.03
Ontario,Ottawa,,walking,2020-03-09,114.93
New Brunswick,New Brunswick,,driving,2020-01-30,114.92
Quebec,Montreal,Montr̩al,walking,2020-01-15,114.86
New Brunswick,New Brunswick,,driving,2020-02-18,114.78
Yukon Territory,Yukon Territory,,driving,2020-03-05,114.78
British Columbia,British Columbia,,driving,2020-01-23,114.76
Saskatchewan,Saskatchewan,,driving,2020-02-25,114.71
Quebec,Quebec,Qu̩bec,driving,2020-02-20,114.66
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-06,114.63
British Columbia,British Columbia,,driving,2020-01-25,114.6
British Columbia,Vancouver,,transit,2020-02-14,114.54
Ontario,Ontario,,driving,2020-02-13,114.5
British Columbia,Vancouver,,driving,2020-02-20,114.43
Alberta,Edmonton,,walking,2020-02-03,114.38
Alberta,Calgary,,driving,2020-01-25,114.36
Manitoba,Manitoba,,driving,2020-03-05,114.34
Quebec,Montreal,Montr̩al,walking,2020-02-12,114.31
Alberta,Alberta,,driving,2020-02-06,114.3
Alberta,Edmonton,,transit,2020-02-05,114.27
Quebec,Montreal,Montr̩al,walking,2020-02-19,114.27
Alberta,Alberta,,driving,2020-02-12,114.27
Ontario,Toronto,,walking,2020-02-28,114.26
British Columbia,Vancouver,,driving,2020-02-08,114.18
Quebec,Montreal,Montr̩al,driving,2020-03-05,114.17
Alberta,Edmonton,,driving,2020-01-29,114.16
Ontario,Toronto,,driving,2020-02-13,114.14
Alberta,Edmonton,,driving,2020-02-06,114.13
Saskatchewan,Saskatchewan,,driving,2020-03-11,114.13
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-17,114.09
Alberta,Calgary,,transit,2020-01-24,113.99
British Columbia,Vancouver,,walking,2020-02-03,113.92
Quebec,Montreal,Montr̩al,transit,2020-02-07,113.84
Ontario,Toronto,,driving,2020-03-07,113.84
Quebec,Quebec,Qu̩bec,driving,2020-03-03,113.8
Yukon Territory,Yukon Territory,,driving,2020-02-21,113.78
Alberta,Calgary,,driving,2020-02-15,113.75
Alberta,Edmonton,,driving,2020-01-21,113.75
Prince Edward Island,Prince Edward Island,,driving,2020-01-22,113.74
British Columbia,British Columbia,,driving,2020-02-18,113.7
British Columbia,British Columbia,,driving,2020-03-05,113.67
Nova Scotia,Nova Scotia,,driving,2020-03-04,113.67
Saskatchewan,Saskatchewan,,driving,2020-03-09,113.66
Ontario,Ottawa,,driving,2020-03-07,113.63
Quebec,Quebec,Qu̩bec,driving,2020-03-04,113.63
Ontario,Ontario,,driving,2020-02-08,113.55
British Columbia,British Columbia,,driving,2020-03-04,113.53
Alberta,Edmonton,,transit,2020-01-29,113.5
New Brunswick,New Brunswick,,driving,2020-02-13,113.46
Ontario,Ottawa,,driving,2020-02-20,113.44
British Columbia,Vancouver,,walking,2020-01-29,113.42
Alberta,Calgary,,driving,2020-01-17,113.39
Saskatchewan,Saskatchewan,,driving,2020-03-03,113.38
Ontario,Toronto,,driving,2020-02-15,113.36
Quebec,Quebec,Qu̩bec,driving,2020-02-08,113.35
British Columbia,Vancouver,,walking,2020-03-13,113.34
Alberta,Calgary,,walking,2020-03-01,113.31
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-27,113.29
Manitoba,Manitoba,,driving,2020-02-13,113.24
Yukon Territory,Yukon Territory,,driving,2020-02-18,113.24
Nova Scotia,Nova Scotia,,driving,2020-01-17,113.21
Quebec,Montreal,Montr̩al,transit,2020-02-13,113.2
Ontario,Toronto,,walking,2020-02-13,113.2
Quebec,Montreal,Montr̩al,driving,2020-03-06,113.17
British Columbia,Vancouver,,driving,2020-02-15,113.14
Alberta,Alberta,,driving,2020-01-29,113.1
Alberta,Edmonton,,transit,2020-01-31,113.03
Manitoba,Manitoba,,driving,2020-02-26,113.03
Quebec,Quebec,Qu̩bec,driving,2020-03-07,113.03
Alberta,Edmonton,,transit,2020-01-30,112.99
Quebec,Montreal,Montr̩al,driving,2020-02-15,112.96
Quebec,Montreal,Montr̩al,walking,2020-01-16,112.96
Prince Edward Island,Prince Edward Island,,driving,2020-03-07,112.88
Manitoba,Manitoba,,driving,2020-03-13,112.86
Saskatchewan,Saskatchewan,,driving,2020-02-04,112.86
British Columbia,Vancouver,,driving,2020-01-23,112.85
Alberta,Alberta,,driving,2020-03-04,112.85
Alberta,Calgary,,driving,2020-02-08,112.8
Alberta,Calgary,,transit,2020-01-28,112.78
Ontario,Ottawa,,driving,2020-03-05,112.76
Alberta,Edmonton,,driving,2020-02-18,112.69
Ontario,Toronto,,driving,2020-02-18,112.68
Ontario,Ottawa,,driving,2020-02-13,112.67
Alberta,Calgary,,transit,2020-02-06,112.65
Quebec,Montreal,Montr̩al,transit,2020-02-10,112.65
Prince Edward Island,Prince Edward Island,,driving,2020-03-04,112.62
Nova Scotia,Nova Scotia,,driving,2020-03-13,112.6
Saskatchewan,Saskatchewan,,driving,2020-03-10,112.57
New Brunswick,New Brunswick,,driving,2020-03-12,112.56
Alberta,Calgary,,walking,2020-01-26,112.5
Alberta,Edmonton,,walking,2020-01-14,112.5
Alberta,Calgary,,transit,2020-03-04,112.41
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-01-29,112.41
Ontario,Ottawa,,walking,2020-02-04,112.39
Quebec,Montreal,Montr̩al,walking,2020-02-17,112.34
Alberta,Alberta,,driving,2020-01-21,112.31
British Columbia,British Columbia,,driving,2020-01-17,112.29
Ontario,Ottawa,,walking,2020-01-30,112.26
Ontario,Toronto,,driving,2020-03-03,112.25
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-01-25,112.24
Quebec,Montreal,Montr̩al,transit,2020-02-20,112.23
British Columbia,Vancouver,,driving,2020-02-19,112.23
Prince Edward Island,Prince Edward Island,,driving,2020-03-11,112.23
Ontario,Toronto,,walking,2020-03-03,112.16
Nova Scotia,Nova Scotia,,driving,2020-01-23,112.16
Saskatchewan,Saskatchewan,,driving,2020-03-12,112.14
Quebec,Montreal,Montr̩al,transit,2020-03-06,112.04
Alberta,Alberta,,driving,2020-02-26,112
