Province,Region,Transportation_Type,alternative_name,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28
Ontario,Ottawa,transit,,100,103.2,103.9,101.13,101.97,85.21,70.78,95.82,100.01,101.13,99.26,106.7,89.15,69.6,95.86,99.02,97.29,100.4,108.2,88.01,78.39,91.54,94.63,91.7,92.75,109.79,82.4,67.97,90.44,94.61,92.98,93.38,89.08,78.45,67.74,67.99,86.32,86.1,91.39,96.5,80.53,68.43,88.99,88.81,84.46,87.56,98.73,89.2,74.97,92.95,94,98.67,102.01,100.09,90.8,70.92,90.95,90.81,84.56,77.56,75.79,58.37,43.8,40.67,31.26,27.52,25.29,23.02,21.42,18.98,18.27,18.2,17.88,17.62,17.83,16.74,14.54,16.36,17.03,16.18,15.25,15.93,15.05,14.75,14.92,15.19,14.95,13.59,11.79,13.46,11.16,14.25,14.33,15.06,14.23,15.06,15.33,12.49,17.19,14.35,15.68,15.92,14.95,15.42,15.28,16.74,19.49
Ontario,Ottawa,walking,,100,102.42,107.93,107.67,108.22,93.37,82.64,101.27,100.04,102.1,111.62,127.12,104.9,84.7,101.59,106.69,105.59,112.26,140.21,140.31,91.3,101.26,112.39,105.82,101.56,126.46,117.5,83.37,105.75,105.57,110.18,102.96,128.47,147.2,131.87,94.15,99.17,105.21,109.11,133.86,135.22,95.12,116.21,110.77,98.7,91.3,124.19,124.48,89.15,103.87,109.77,120.78,126.61,126.44,139.2,97.77,114.93,103.29,103.94,99.13,98.92,91.17,65.03,63.56,51.5,55.21,52.65,49.35,43.87,50.31,39.12,46.25,43.59,41.61,52.32,43.26,26.05,44.94,47.49,48.35,48.95,43.45,52.19,36.39,55.22,50.31,43.44,39.35,36.76,45,39.8,33.33,46.24,41.89,41.74,50.88,54.3,35.65,53.38,39.26,42.44,48.92,48.8,61.46,44.21,58.01,63.89
Ontario,Toronto,driving,,100,105.38,102.42,107.2,122.11,86.03,78.09,101.53,101.79,104.59,105.81,120.86,106.37,78.9,94.06,99.4,101.89,104.53,120.54,109.83,77.15,95.9,99.63,102.94,99.53,115.1,107.83,82.85,98.57,103.16,104.66,114.14,131.44,113.36,93.46,77.81,112.68,110.47,118.14,135.46,124.75,94.34,100.31,105.8,95.55,101.35,121.95,115.09,86.44,102.49,112.25,110.69,117.3,118.02,113.84,89.61,100.41,102.48,98.95,96.3,95.52,77.54,58.99,67.65,59.18,54.83,52.76,52.49,43.4,33.22,40.23,41.8,38.72,38.27,42.98,33.08,29.21,37.13,38.83,40.44,40.35,42.83,35.54,29.32,38.66,38.99,41.18,45.08,32.74,38.54,26.97,35.85,42.21,43.43,43.91,47.86,42.76,33.53,45.81,44.68,47.45,48.15,53.44,49.55,35.59,49.83,49.63
Ontario,Toronto,transit,,100,102.39,100.57,99.41,105.64,85,73.17,96.55,98.78,104.07,102.69,109.45,90.8,74.47,93.65,97.32,96.71,100.49,107.06,93.93,72.93,94.87,97.41,94.07,93.59,101.27,91.5,76.8,94.28,96.37,96.55,105.34,106.43,91.48,78.1,74.57,105.01,102.06,106.04,119.23,102.69,82.78,96.38,97.42,91.14,91.91,101.46,96,78.23,96.47,99.29,101.12,108.56,101.25,94.85,78.97,95.76,91.15,89.65,82.3,74.08,59.03,48.41,47.04,37.11,33.01,30.24,28.79,25.4,21.74,23.54,21.81,20.07,19.2,19.66,16.75,16.95,19.42,19.68,19.09,18.95,17.91,16,15.7,17.75,16.62,16.59,16.63,14.45,15.44,13.68,16.78,17.64,17.11,16.56,17.2,16.29,15.41,19.44,17.13,17.73,17.81,18.77,17.74,16.02,20.32,19.5
Ontario,Toronto,walking,,100,108.27,109.14,107.4,124.37,101.32,78.84,94.25,99.36,106.82,109.61,123.19,120.48,80.8,94.25,104.44,104.38,107.41,127.03,128.3,78.76,99.94,103.55,100.94,94.36,117.55,120.51,82.53,99.13,105.44,105.93,113.2,136.5,132.36,108.96,84.58,107.88,111,120.1,151.17,157.44,106.78,106.95,106.05,90.75,93.96,114.26,127.32,95.86,104.85,112.16,119.56,130.82,123.1,142.35,110.63,115.03,104.64,100.89,96.24,93.02,85.78,64.95,62.02,52.24,47.08,47.32,45.59,41.38,33.73,32.85,37.65,37.51,36.59,41.56,29.89,32.76,32.4,34.07,41.29,40.97,37.27,36.09,34.4,39.02,35.57,40.45,37.03,30.42,35.27,29.38,28.95,36.03,34.69,33.88,38.52,40.44,30.87,41.0,32.88,38.99,38.56,42.61,50.43,29.87,48.44,41.97
British Columbia,Vancouver,driving,,100,101.21,73.72,85.84,105.74,97.94,80.17,103.84,107.72,108.64,112.85,120.85,108.37,85.8,96.92,98.68,99.32,103.07,118.83,108.66,81.01,94.2,86.66,100.22,106.86,119.86,114.18,90.05,99.1,102.85,106.29,111.52,139.86,113.14,98.97,88.19,108.41,112.23,114.43,129.42,115.94,89.83,98.5,104.99,106.61,107.42,127.04,121.64,91.03,100.43,102.7,110.2,109.35,125.79,111.07,89.67,97.18,97.44,99.21,94.38,95.67,83.21,67.11,72.78,66.01,61.53,58.56,61.11,50.31,35.53,44.05,43.16,45.92,42.29,46.72,38.28,36.44,42.91,46.19,46.31,44.62,50.64,43.59,38.19,47.09,47.94,50.6,56.21,48.02,47.55,38.48,45.2,51.71,55.15,55.23,59.28,55.59,45.19,54.41,54.07,53.9,56.84,64.84,54.96,46.7,56.01,57.39
British Columbia,Vancouver,transit,,100,93.81,86.78,96.86,104.61,96.55,78.93,95.33,94,93.68,94.77,104.87,95.56,79.43,86.83,83.96,82.32,84.49,93.45,96.45,77.48,84.74,81.85,86.19,88.88,100,101.81,82.57,86.51,87.62,87.71,92.11,114.54,98.97,89.15,87.66,96.72,98.09,96.7,106.04,99.21,79.62,86.78,84.92,86.25,88.43,100.88,106.99,81.56,85.44,86.57,91.62,87.07,103.19,95.74,82.27,81.5,79.71,80.43,75.31,75.87,71.08,58.19,53.46,42.71,36.94,32.15,31.19,27.75,20.9,21.91,20.02,20.58,19.06,18.77,18.3,18.01,20.01,20.35,19.36,18.65,19.44,18.04,17.69,20.94,19.59,20.15,19.31,19.51,18.63,17.18,19.21,19.5,20.5,20.48,19.97,20.71,18.73,20.88,19.23,19.06,19.75,20.6,20.08,18.88,21.5,21.08
British Columbia,Vancouver,walking,,100,105.24,91.04,111.66,139.11,144.62,111.74,127.23,123.44,124.74,126.53,151.17,155.88,115.95,122.67,119.75,113.42,122.02,134.76,152.83,106.51,113.92,99.42,115.89,126.94,152.35,179.32,122.22,124.2,125.66,129.05,133.32,191.7,173.07,157.44,123.35,137.17,145.23,151.22,177.14,179.83,116.49,120.73,120.24,127.04,126.08,151.37,180.47,118.62,108.45,118.08,143.1,134.11,177.98,173.67,131.97,116.52,108.03,116.99,110.71,113.34,110.6,87.1,84.16,74.36,69.33,64.05,65.27,58.78,39.58,42.74,43.91,46.99,37.93,40.52,33.47,40.69,39.58,45.06,44.05,41.46,46.34,42.52,39.18,48.19,48.61,51.68,54.31,50.27,51.57,43.02,49.47,51.08,54.98,56.76,55.37,59.25,46.0,54.76,50.87,46.17,54.38,56.86,53.55,43.42,54.41,51.01
Alberta,Alberta,driving,,100,102.14,102.55,107.88,126.18,119.29,93.03,109.02,112.31,115.79,116.57,136.22,130.44,95.91,105.37,111.09,113.1,116.29,139.26,125.77,94.9,102.7,107.91,108.44,114.3,134.43,127.97,96.83,105.08,116.3,114.27,121.16,148.53,135.01,108.73,95.23,118.83,120.73,124.62,139.85,136.99,101.69,104.82,110.59,112,118.21,141.28,134.29,101.94,105.71,110.36,112.85,116,138.06,122.41,93.44,103.81,107.17,107.63,103.63,101.91,81.57,64.27,74.04,71.05,66.47,65.6,71.75,58.36,47.04,57.42,54.45,56.6,57.64,64.55,50.84,43.41,52.98,51.44,54.5,54.72,61.52,52.45,40.68,54.79,56.11,60.42,70.82,55.69,53.84,40.21,55.87,61.12,64.22,68.94,75.07,66.11,56.76,70.98,72.86,73.84,77.02,87.03,75.02,61.85,76.64,81.82
British Columbia,British Columbia,driving,,100,100.71,76.53,89.64,112.29,103.96,86.82,106.26,108.63,109.96,114.76,126.57,114.6,92.42,99.62,101.72,102.87,106.51,123.7,117.07,88.82,98.45,91.94,103.33,109.9,125.4,120.43,97.19,103.09,105.72,109.44,115.61,146.18,123.47,107.96,99.72,113.7,117.39,120.27,135.06,123.83,97.57,103.37,108.09,111.49,111.72,133.16,127.86,100.3,104.85,106.73,113.53,113.67,131.88,118.62,97.54,103.3,103.67,105.05,101.05,104.63,93.3,77.14,81.18,73.83,70.11,67.24,70.26,59.75,43.11,50.69,49.7,52.81,48.75,53.7,45.15,43.14,48.56,52.31,52.78,51.1,57.06,50.36,44.18,53.49,54.99,57.59,64.85,56.54,55.28,44.37,52.57,58.88,63.44,63.4,68.65,64.66,53.71,63.68,63.25,62.97,66.49,75.1,65.24,55.91,65.51,67.11
Manitoba,Manitoba,driving,,100,107.55,109.64,107.11,131,109.71,89.53,106.51,106.7,109.34,109.93,130.33,123.83,90.02,100.22,103.73,107.86,115.92,141.2,124.92,93.63,100.84,103.8,105.22,109.09,129.5,126.22,94.19,101.58,106.51,106.09,113.24,145.13,131.32,105.88,89.34,110.54,110.5,120.04,137.84,133.71,96.52,103.92,106.78,113.03,115.95,139.51,138.34,99.84,105.47,109.9,110.02,114.34,144.26,136.1,95.14,103.39,107.04,108.41,107.1,112.86,95.05,66.61,74.94,74.9,70.42,71.23,80.94,62.8,48.57,60.69,59.33,60.49,61.54,72.78,62.76,50.13,64.63,67.35,63.32,50.35,58.72,56.28,45.36,60.58,62.65,65.14,79.75,60.69,63.96,44.73,60.34,67.36,72.43,73.13,84.64,70.85,58.41,71.76,74.15,79.79,84.23,93.06,76.47,66.29,83.28,83.56
New Brunswick,New Brunswick,driving,,100,102.62,104.52,102.65,133.37,143.05,68.73,104.43,107.55,107.11,119.71,149.09,144.88,92.29,106.08,107.83,103.78,114.92,146.49,148.84,105.32,101.2,103.74,106.72,97.86,81.5,134.86,106.54,96.82,110.08,108.79,113.46,158.97,153.8,128.93,108.65,114.78,111.88,124.15,151.23,162.69,124.65,109.68,111.49,119.06,85.7,141.92,144.19,106.48,120.36,123,119.8,132.57,153.23,136.84,115.07,104.25,92.57,111.37,112.56,109.85,109.11,89.43,95.02,87.19,86.53,78.86,75.04,73.89,61.53,65.6,56.13,66.24,63.54,64.37,71.37,59.74,56.78,57.63,57.07,56.98,65.63,61.25,56.62,60.65,64.76,66.96,71.22,45.66,63.9,48.16,54.85,70.06,73.65,74.43,81.06,74.97,75.04,74.43,76.09,78.83,81.74,90.47,88.94,77.75,77.36,86.22
Newfoundland and Labrador,Newfoundland and Labrador,driving,,100,106.33,110.15,111.42,29.39,41.86,50.05,62.54,71.02,74.27,79.34,90.99,112.24,90.95,99.93,108.94,112.41,111.56,130.24,127.15,57.52,101.45,106.81,107.2,114.63,83.36,105.7,92.98,102.29,110.18,77.22,119.53,151.34,120.23,100.24,114.09,107.18,95.67,124.76,137.58,120.25,93.95,102.68,108.05,105.76,113.29,104.81,125.37,82.06,76.48,110.52,107.47,115.54,136.73,93.88,67.88,108.26,108.23,98.59,108.88,119.89,99.44,75.74,84.54,82.44,72.53,81.83,73.69,61.59,48.69,58.57,47,35.19,55.33,45.59,49.4,37.39,40.7,45.21,56.3,52.65,57.88,54.24,50.02,52.1,52.78,59.03,67.45,47.19,63.02,46.14,61.72,55.12,65.09,64.86,71.96,74.63,41.96,66.26,62.71,82.6,78.77,86.13,68.56,87.19,75.18,79.45
Nova Scotia,Nova Scotia,driving,,100,103.05,107.57,93.3,113.21,124.91,62.17,98.38,102.42,106.71,112.16,127.9,131.74,90.64,96.93,102.03,102.91,107.97,131.12,117.47,84.58,93.84,101,105.61,92.84,93.57,127.85,100.6,100.67,102.83,92.75,90.07,141.8,135.3,108.83,92.99,111.78,110.02,116.59,131.85,136.27,106.8,104.16,103.6,110.17,98.72,135.22,145.88,99.99,108.62,111.56,113.67,118.9,141.48,115.24,105.4,98.97,105.29,106.21,106.44,112.6,111.2,87.85,85.79,81.48,78.25,75.69,70.9,79.01,50.9,52.68,39.61,56.71,43.83,54.72,57.5,46.52,51.89,50.05,50,48.2,58.43,51.5,44.59,52.73,53.47,57.46,64.54,42.75,52.18,36.67,48.95,61.4,59.9,64.77,66.66,58.86,89.56,76.92,72.69,69.83,71.57,87.7,68.91,56.19,61.0,56.85
Nunavut,Nunavut,driving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario,Ontario,driving,,100,104.43,103.14,107.74,125.31,90.91,82.23,100.56,101.84,103.97,106.54,124.38,110.28,84.13,94.99,100.35,102.92,106.91,126.57,116.87,83.54,96.26,100.32,102.16,100.82,118.95,113.55,89.24,99.48,103.68,105.42,114.5,137.06,122.49,101.27,87.58,110.59,109.82,117.73,136.47,127.82,99.66,101.42,105.84,96.75,101.12,125.55,121,93.15,103.13,110.96,110.8,117.35,122.75,120.24,95.5,101.75,103.31,101.3,98.61,101.36,86.36,66.59,71.71,64.05,60.04,58.31,59.09,50.33,39.56,44.65,46.66,43.94,43.64,49.41,39.14,33.63,42.25,44.74,46.25,46.29,49.13,41.73,33.69,43.97,44.45,47.46,51.87,38.62,45.44,31.05,40.88,48.67,49.74,50.37,55.16,50.32,39.13,52.63,51.03,54.29,55.15,61.88,57.42,42.87,57.34,58.4
Prince Edward Island,Prince Edward Island,driving,,100,107.65,104.29,95.3,75.67,117.66,55.9,99.3,106.4,113.74,116.7,122.63,131.9,87.12,96.88,99.82,102.87,108.82,172.62,144.7,87.14,99.63,109.39,94.28,101.33,106.01,146.42,105.85,91.79,102.91,96.41,107.84,136.23,135.75,110.69,106.81,116.31,108.78,118.99,143.94,134.95,93.58,99.84,111.06,111.06,94.44,149.95,152.41,82.22,106.13,105.72,112.62,109.72,126.89,112.88,100.8,96.04,92.98,112.23,107.63,108.8,104.16,77.46,79.49,81.93,78.61,75.92,66.38,78.22,54.77,55.92,45.81,63.57,56.86,53.7,67.55,61.85,53.03,50.22,52.41,60.64,68.1,59.3,55.53,53.13,61.13,62.42,78.46,47.45,74.26,53.52,63.61,69.09,69.44,73.31,91.04,93.17,78.3,79.14,85.05,84.25,76.74,93.64,101.76,88.98,82.75,76.51
Quebec,Quebec,driving,Qu̩bec,100,101.53,105.44,110.5,121.81,107.72,81.92,99.15,99.73,105.6,109.23,128.14,116.53,84.43,96.09,99.99,101.51,106.93,126.25,118.18,91.69,93.29,97.93,101.66,105.69,109.35,113.35,89.04,115.92,108.18,110.44,117.16,134.05,123.14,100.4,106.8,107.08,115.63,114.66,133.23,121.77,93.88,100.2,106.07,103.6,96.57,131.21,118.1,96.95,108.82,113.8,113.63,122.77,123.02,113.03,91.91,98.76,101.84,106.39,103.57,93.79,82.69,64.1,70.27,59.91,59.49,57.7,56.82,44.91,36.88,47.53,44.91,38.75,38.82,43.44,35.78,27.09,35.42,39.29,38.67,36.71,40.29,34.74,26.39,37.72,38.33,39.19,39.6,39.56,36.41,29.29,32.04,41.41,43.46,45.34,48.96,41.49,32.88,48.67,46.73,47.8,52.9,57.39,48.23,39.42,52.85,56.29
